code,start,end,n_hours,max_slope,min_slope,avg_level
157B025010050,2025-07-13 00:00:00,2025-07-14 05:00:00,30,0.0,0.0,23.726999999999993
157B025010050,2025-07-14 06:00:00,2025-07-14 15:00:00,10,1.387,-8.885000000000002,3.9087999999999994
157B025010050,2025-07-14 17:00:00,2025-07-14 21:00:00,5,0.8999999999999995,0.006000000000000227,5.3332
157B025010050,2025-07-14 22:00:00,2025-07-15 02:00:00,5,1.299999999999999,0.0,7.494999999999999
157B025010050,2025-07-15 03:00:00,2025-07-15 07:00:00,5,1.3390000000000004,0.08500000000000085,10.5592
157B025010050,2025-07-15 08:00:00,2025-07-15 12:00:00,5,1.862,-0.14300000000000068,14.862
157B025010050,2025-07-15 13:00:00,2025-07-17 15:00:00,50,0.7530000000000001,-0.6439999999999984,18.382779999999997
157B025010050,2025-07-17 16:00:00,2025-07-18 07:00:00,15,0.5790000000000006,-0.7830000000000013,17.61093333333333
157B025010050,2025-07-18 08:00:00,2025-07-19 08:00:00,25,0.6129999999999995,-0.9559999999999995,16.04972
157B025010050,2025-07-19 09:00:00,2025-07-20 05:00:00,20,0.4320000000000004,-0.5190000000000001,14.3874
157B025010050,2025-07-20 06:00:00,2025-07-20 23:00:00,17,0.3760000000000012,-0.5060000000000002,12.956823529411766
157B025010054,2025-06-15 00:00:00,2025-06-16 21:00:00,45,1.9249999999999998,-0.769,0.7464888888888889
157B025010054,2025-06-16 22:00:00,2025-06-17 02:00:00,5,6.2059999999999995,-1.9000000000000004,4.9176
157B025010054,2025-06-17 03:00:00,2025-06-19 00:00:00,25,0.44399999999999995,-0.9160000000000001,1.4596
157B025010054,2025-06-19 01:00:00,2025-06-19 05:00:00,5,2.7710000000000004,0.05999999999999961,5.893800000000001
157B025010054,2025-06-19 07:00:00,2025-06-19 11:00:00,5,0.020000000000000018,-3.2439999999999998,4.2796
157B025010054,2025-06-19 12:00:00,2025-06-25 01:00:00,125,3.9459999999999997,-0.804,1.3691359999999995
157B025010054,2025-06-25 02:00:00,2025-06-25 06:00:00,5,0.6499999999999999,-3.0069999999999997,3.8351999999999995
157B025010054,2025-06-25 07:00:00,2025-06-25 21:00:00,15,0.2509999999999999,-0.07999999999999985,1.1020666666666665
157B025010054,2025-06-25 22:00:00,2025-06-26 02:00:00,5,8.751000000000001,-0.01100000000000012,2.9768
157B025010054,2025-06-26 03:00:00,2025-06-26 07:00:00,5,1.4329999999999998,-1.1640000000000015,9.8686
157B025010054,2025-06-26 08:00:00,2025-06-26 12:00:00,5,0.08499999999999996,-3.2249999999999988,5.620400000000001
157B025010054,2025-06-26 13:00:00,2025-06-26 22:00:00,10,0.06700000000000006,-0.8250000000000002,0.9289999999999999
157B025010054,2025-06-26 23:00:00,2025-06-27 03:00:00,5,9.28,-1.1190000000000015,7.757000000000001
157B025010054,2025-06-27 04:00:00,2025-06-27 08:00:00,5,0.0,-4.15,5.713800000000001
157B025010054,2025-06-27 09:00:00,2025-06-28 04:00:00,20,0.5639999999999998,-0.31899999999999995,1.2521
157B025010054,2025-06-28 05:00:00,2025-06-28 09:00:00,5,2.8529999999999998,-2.367,3.6468000000000003
157B025010054,2025-06-28 10:00:00,2025-06-29 00:00:00,15,9.056000000000001,-1.3569999999999998,1.7257999999999998
157B025010054,2025-06-29 01:00:00,2025-06-29 05:00:00,5,1.0259999999999998,0.258,7.0120000000000005
157B025010054,2025-06-29 06:00:00,2025-06-29 11:00:00,5,-0.5129999999999999,-2.245,3.9812
