code,algo_start,algo_end,manual_start,manual_end,level_start_mm,level_at_12h_mm,delta_12h_mm,duration_hours,drain_rate_mm_per_hour
157B025030026,2025-07-29 13:00:00,2025-07-29 19:00:00,2025-07-29 12:00:00,2025-07-30 00:00:00,4.627,0.527,-4.1,6.0,0.3416666666666666
157B025030025,2025-06-19 02:00:00,2025-06-19 07:00:00,2025-06-19 01:00:00,2025-06-19 13:00:00,6.394,2.312,-4.082000000000001,5.0,0.34016666666666673
157B025010054,2025-06-28 09:00:00,2025-06-28 12:00:00,2025-06-28 04:00:00,2025-06-28 18:00:00,4.16,0.7,-3.46,3.0,0.28833333333333333
157B025010054,2025-07-14 08:00:00,2025-07-14 13:00:00,2025-07-14 06:00:00,2025-07-14 19:00:00,5.52,1.962,-3.558,5.0,0.2965
157B025010054,2025-08-07 07:00:00,2025-08-07 12:00:00,2025-08-07 07:00:00,2025-08-07 21:00:00,7.553,4.237,-3.316,5.0,0.2763333333333333
157B025030014,2025-06-19 07:00:00,2025-06-19 14:00:00,2025-06-19 07:00:00,2025-06-19 14:00:00,6.447,1.947,-4.5,7.0,0.375
157B025030014,2025-06-23 21:00:00,2025-06-24 04:00:00,2025-06-23 19:00:00,2025-06-24 09:00:00,3.65,1.053,-2.597,7.0,0.21641666666666667
157B025030014,2025-07-15 13:00:00,2025-07-15 17:00:00,2025-07-15 10:00:00,2025-07-15 23:00:00,4.04,1.168,-2.872,4.0,0.23933333333333331
157B025030014,2025-08-15 21:00:00,2025-08-16 01:00:00,2025-08-15 18:00:00,2025-08-16 04:00:00,7.986,5.066,-2.92,4.0,0.24333333333333332
157B025030014,2025-09-06 00:00:00,2025-09-06 04:00:00,2025-09-05 22:00:00,2025-09-06 05:00:00,7.188,4.521,-2.667,4.0,0.22224999999999998
157B025030039,2025-06-27 06:00:00,2025-06-27 10:00:00,2025-06-27 04:00:00,2025-06-27 19:00:00,6.327,3.812,-2.515,4.0,0.20958333333333334
157B025030039,2025-06-29 08:00:00,2025-06-29 12:00:00,2025-06-29 08:00:00,2025-06-29 19:00:00,6.8,3.327,-3.473,4.0,0.28941666666666666
157B025030039,2025-07-01 09:00:00,2025-07-01 15:00:00,2025-07-01 08:00:00,2025-07-01 23:00:00,7.306,3.453,-3.853,6.0,0.32108333333333333
157B025030039,2025-07-14 07:00:00,2025-07-14 11:00:00,2025-07-14 06:00:00,2025-07-14 12:00:00,7.1,3.461,-3.639,4.0,0.30324999999999996
